FilenameAndPath;FileSize;FileSha512Hash;Category;Source;GroupId
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshDetail\ScanService.cs";1506;981649D28CCBB938E20E26133F9FF1DC36D731A34EBCDA294595CA0D4A825261221DB42C47504D6EF7B9AD5005A3B7FADBB10909FF32305002017D48C64B4612;Duplicate;Base;19
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\RefreshDetail\ScanService.cs";1506;981649D28CCBB938E20E26133F9FF1DC36D731A34EBCDA294595CA0D4A825261221DB42C47504D6EF7B9AD5005A3B7FADBB10909FF32305002017D48C64B4612;Duplicate;Second;19
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Refresh\RefreshService.cs";1419;98D357C9A8161148A30BCE40980D12D603000E8328F4DB75275734512D586CDA6DEC38855E3F7C0FC94B3F733194CB47DA6625BC19BB59F73EF9A9565FDFE750;Duplicate;Base;20
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Refresh\RefreshService.cs";1419;98D357C9A8161148A30BCE40980D12D603000E8328F4DB75275734512D586CDA6DEC38855E3F7C0FC94B3F733194CB47DA6625BC19BB59F73EF9A9565FDFE750;Duplicate;Second;20
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\FindDups\Helper\IEnumerateFilesToIndex.cs";488;A2B955FE70B976D4E672C2C816049CE3DE6AA6EE469BB212CC257DD7FF22B101060A3C9A9897C7C572A209866CE3ECDC5D2452AE106C7CCC25ABBEFBBB4741F2;Duplicate;Base;21
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\FindDups\Helper\IEnumerateFilesToIndex.cs";488;A2B955FE70B976D4E672C2C816049CE3DE6AA6EE469BB212CC257DD7FF22B101060A3C9A9897C7C572A209866CE3ECDC5D2452AE106C7CCC25ABBEFBBB4741F2;Duplicate;Second;21
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\BasicRunner.cs";3116;D83D24E7044F50B93B43D4A542059CDA3CB9CB6E5CE982390BC215576C49C387ABC00C8639C17D3C3B302E9E8AC6DFE715A553A0AC75058DF4FC0AFDDFDE61FE;Duplicate;Base;24
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckDetail\BasicRunner.cs";3116;D83D24E7044F50B93B43D4A542059CDA3CB9CB6E5CE982390BC215576C49C387ABC00C8639C17D3C3B302E9E8AC6DFE715A553A0AC75058DF4FC0AFDDFDE61FE;Duplicate;Second;24
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\IRunner.cs";434;DAE68BF31AFF8535EFE1FC03FF73FAC219C5BD19A7F67221159FDD6638D3C0C31913A5468BB0C27C1B2E0BBA61BCF919460B4EB8D62130F2AB7DF613AAFAADD0;Duplicate;Base;25
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesNew\demo\Check\CheckDetail\IRunner.cs";434;DAE68BF31AFF8535EFE1FC03FF73FAC219C5BD19A7F67221159FDD6638D3C0C31913A5468BB0C27C1B2E0BBA61BCF919460B4EB8D62130F2AB7DF613AAFAADD0;Duplicate;Second;25
"O:\DatenP\Programmieren\repos\myDupFinder\testdata\filesBase\demo\Check\CheckDetail\BasicService.cs";3475;EE87603257B018EA3A56A0BB122BF9F2C52E74205E08D306A06F2ED2165CC8307282196D7E727F148A47E01C813701232882762C1612A0094FADCCE40144E2E1;Duplicate;Base;27
